Timestamp,Tempo (ms),Tensão Bateria (V),Corrente Bateria (A),Tensão Resistor (V),Corrente Resistor (A),Potência Bateria (W),Potência Resistor (W),Capacidade Usada (mAh),Energia Total (mWh)
2025-06-18 15:09:13.882,5000.0,6.789,22.414,2.226,0.223,152.169,0.495,67898.34,341855.62
2025-06-18 15:09:14.907,6000.0,6.595,22.151,2.221,0.222,146.09,0.493,90048.88,487945.25
2025-06-18 15:09:15.846,7000.0,6.501,21.838,2.195,0.219,141.977,0.482,111886.61,629922.5
2025-06-18 15:09:17.021,8000.0,6.425,21.574,2.167,0.217,138.616,0.47,133460.4,768538.93
2025-06-18 15:09:17.858,9000.0,6.39,21.476,2.153,0.215,137.233,0.464,154936.45,905771.5
2025-06-18 15:09:18.871,10000.0,6.402,21.554,2.156,0.216,137.985,0.465,176490.7,1043756.62
2025-06-18 15:09:19.881,11000.0,6.419,21.623,2.16,0.216,138.804,0.467,198113.37,1182560.25
2025-06-18 15:09:20.913,12000.0,6.44,21.701,2.166,0.217,139.751,0.469,219814.25,1322311.37
2025-06-18 15:09:21.932,13000.0,6.434,21.662,2.161,0.216,139.372,0.467,241476.03,1461683.62
2025-06-18 15:09:22.873,14000.0,6.416,21.584,2.153,0.215,138.489,0.464,263059.62,1600173.0
2025-06-18 15:09:23.888,15000.0,6.378,21.437,2.14,0.214,136.731,0.458,284496.56,1736904.25
2025-06-18 15:09:24.920,16000.0,6.337,21.29,2.125,0.213,134.922,0.452,305786.87,1871826.25
2025-06-18 15:09:25.848,17000.0,6.284,21.075,2.107,0.211,132.447,0.444,326862.15,2004272.87
2025-06-18 15:09:26.863,18000.0,6.238,20.899,2.092,0.209,130.36,0.438,347761.46,2134633.0
2025-06-18 15:09:27.884,19000.0,6.191,20.723,2.077,0.208,128.29,0.431,368484.84,2262923.5
2025-06-18 15:09:28.921,20000.0,6.158,20.596,2.066,0.207,126.839,0.427,389081.12,2389762.75
2025-06-18 15:09:30.000,21000.0,6.106,20.391,2.05,0.205,124.499,0.42,409472.12,2514261.5
2025-06-18 15:09:30.922,22000.0,5.434,20.303,1.935,0.194,110.327,0.375,429775.15,2624588.5
2025-06-18 15:09:32.072,23000.0,5.205,19.834,1.88,0.188,103.241,0.353,449608.96,2727829.0
2025-06-18 15:09:33.082,24000.0,5.246,19.746,1.858,0.186,103.593,0.345,469354.81,2831422.25
2025-06-18 15:09:33.892,25000.0,5.179,19.501,1.834,0.183,100.996,0.336,488856.28,2932418.0
2025-06-18 15:09:34.910,26000.0,5.015,18.905,1.781,0.178,94.803,0.317,507761.46,3027221.0
2025-06-18 15:09:35.925,27000.0,5.672,19.052,1.898,0.19,108.053,0.36,526813.25,3135274.25
2025-06-18 15:09:36.841,28000.0,5.853,19.384,1.941,0.194,113.463,0.377,546197.43,3248737.0
