Timestamp,Tempo (ms),Tensão Bateria (V),Corrente Bateria (A),Tensão Resistor (V),Corrente Resistor (A),Potência Bateria (W),Potência Resistor (W),Capacidade Usada (mAh),Energia Total (mWh)
2025-06-18 15:15:22.640,17000.0,0.0,6.676,0.963,0.096,0.0,0.093,104486.82,0.0
2025-06-18 15:15:23.669,18000.0,0.0,6.667,0.961,0.096,0.0,0.092,111153.48,0.0
2025-06-18 15:15:24.680,19000.0,0.0,6.667,0.96,0.096,0.0,0.092,117820.14,0.0
2025-06-18 15:15:25.699,20000.0,0.0,6.657,0.959,0.096,0.0,0.092,124477.03,0.0
2025-06-18 15:15:26.623,21000.0,0.0,6.667,0.959,0.096,0.0,0.092,131143.7,0.0
2025-06-18 15:15:27.649,22000.0,0.0,6.667,0.96,0.096,0.0,0.092,137810.37,0.0
2025-06-18 15:15:28.672,23000.0,0.0,6.667,0.959,0.096,0.0,0.092,144477.04,0.0
2025-06-18 15:15:29.688,24000.0,0.0,6.667,0.959,0.096,0.0,0.092,151143.71,0.0
2025-06-18 15:15:30.629,25000.0,0.0,6.667,0.959,0.096,0.0,0.092,157810.39,0.0
2025-06-18 15:15:31.646,26000.0,0.0,6.657,0.959,0.096,0.0,0.092,164467.28,0.0
2025-06-18 15:15:32.661,27000.0,0.0,6.637,0.957,0.096,0.0,0.092,171104.62,0.0
2025-06-18 15:15:33.677,28000.0,0.0,6.637,0.956,0.096,0.0,0.091,177741.96,0.0
2025-06-18 15:15:34.706,29000.0,0.0,6.637,0.955,0.096,0.0,0.091,184379.31,0.0
2025-06-18 15:15:35.620,30000.0,0.0,6.647,0.955,0.096,0.0,0.091,191026.42,0.0
2025-06-18 15:15:36.678,31000.0,0.0,6.647,0.955,0.096,0.0,0.091,197673.53,0.0
2025-06-18 15:15:37.708,32000.0,0.0,6.667,0.956,0.096,0.0,0.091,204340.2,0.0
2025-06-18 15:15:38.662,33000.0,0.0,6.667,0.957,0.096,0.0,0.092,211006.87,0.0
2025-06-18 15:15:39.764,34000.0,0.0,6.676,0.958,0.096,0.0,0.092,217683.31,0.0
2025-06-18 15:15:40.872,35000.0,0.0,6.676,0.959,0.096,0.0,0.092,224359.75,0.0
2025-06-18 15:15:41.905,36000.0,0.0,6.686,0.96,0.096,0.0,0.092,231045.96,0.0
2025-06-18 15:15:42.616,37000.0,0.0,6.706,0.962,0.096,0.0,0.093,237751.73,0.0
2025-06-18 15:15:43.631,38000.0,0.0,6.725,0.964,0.096,0.0,0.093,244477.04,0.0
2025-06-18 15:15:44.651,39000.0,0.0,6.774,0.969,0.097,0.0,0.094,251251.23,0.0
2025-06-18 15:15:45.661,40000.0,0.0,6.823,0.973,0.097,0.0,0.095,258074.29,0.0
2025-06-18 15:15:46.676,41000.0,0.0,6.862,0.976,0.098,0.0,0.095,264936.46,0.0
2025-06-18 15:15:47.607,42000.0,0.0,6.921,0.982,0.098,0.0,0.097,271857.28,0.0
2025-06-18 15:15:48.623,43000.0,0.0,6.979,0.988,0.099,0.0,0.098,278836.75,0.0
2025-06-18 15:15:49.691,44000.0,0.0,7.028,0.993,0.099,0.0,0.099,285865.09,0.0
2025-06-18 15:15:50.610,45000.0,0.0,7.077,0.999,0.1,0.0,0.1,292942.31,0.0
2025-06-18 15:15:51.630,46000.0,0.0,7.175,1.01,0.101,0.0,0.102,300117.28,0.0
2025-06-18 15:15:52.660,47000.0,0.0,7.224,1.015,0.101,0.0,0.103,307341.12,0.0
2025-06-18 15:15:53.670,48000.0,0.0,7.312,1.023,0.102,0.0,0.105,314652.93,0.0
2025-06-18 15:15:54.605,49000.0,0.0,7.41,1.034,0.103,0.0,0.107,322062.53,0.0
2025-06-18 15:15:55.617,50000.0,0.0,7.498,1.042,0.104,0.0,0.109,329560.09,0.0
2025-06-18 15:15:56.633,51000.0,0.0,7.537,1.045,0.104,0.0,0.109,337096.75,0.0
2025-06-18 15:15:57.698,52000.0,0.0,7.566,1.049,0.105,0.0,0.11,344662.71,0.0
2025-06-18 15:15:58.611,53000.0,0.0,7.595,1.053,0.105,0.0,0.111,352258.03,0.0
2025-06-18 15:15:59.778,54000.0,0.0,7.576,1.052,0.105,0.0,0.111,359833.78,0.0
2025-06-18 15:16:00.849,55000.0,0.0,7.546,1.051,0.105,0.0,0.11,367380.21,0.0
2025-06-18 15:16:01.894,56000.0,0.0,7.527,1.05,0.105,0.0,0.11,374907.09,0.0
2025-06-18 15:16:02.933,57000.0,0.0,7.546,1.053,0.105,0.0,0.111,382453.53,0.0
2025-06-18 15:16:03.639,58000.0,0.0,7.498,1.047,0.105,0.0,0.11,389951.09,0.0
2025-06-18 15:16:04.649,59000.0,0.0,7.468,1.044,0.104,0.0,0.109,397419.31,0.0
2025-06-18 15:16:05.667,60000.0,0.0,7.439,1.041,0.104,0.0,0.108,404858.21,0.0
2025-06-18 15:16:06.681,61000.0,0.0,7.419,1.04,0.104,0.0,0.108,412277.56,0.0
2025-06-18 15:16:07.614,62000.0,0.0,7.37,1.035,0.104,0.0,0.107,419648.03,0.0
2025-06-18 15:16:08.626,63000.0,0.0,7.341,1.033,0.103,0.0,0.107,426989.18,0.0
2025-06-18 15:16:09.638,64000.0,0.0,7.273,1.027,0.103,0.0,0.106,434261.9,0.0
2025-06-18 15:16:10.655,65000.0,0.0,7.243,1.025,0.103,0.0,0.105,441505.31,0.0
2025-06-18 15:16:11.673,66000.0,0.0,7.204,1.022,0.102,0.0,0.104,448709.62,0.0
2025-06-18 15:16:12.688,67000.0,0.0,7.126,1.013,0.101,0.0,0.103,455835.71,0.0
2025-06-18 15:16:13.619,68000.0,0.0,7.067,1.007,0.101,0.0,0.101,462903.15,0.0
2025-06-18 15:16:14.646,69000.0,0.0,7.009,1.0,0.1,0.0,0.1,469911.96,0.0
2025-06-18 15:16:15.660,70000.0,0.0,6.931,0.991,0.099,0.0,0.098,476842.56,0.0
2025-06-18 15:16:16.694,71000.0,0.0,6.823,0.979,0.098,0.0,0.096,483665.62,0.0
2025-06-18 15:16:17.604,72000.0,0.0,6.764,0.974,0.097,0.0,0.095,490430.03,0.0
